
> frontend@0.0.0 dev
> vite


  VITE v7.0.0  ready in 200 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: use --host to expose
11:21:28 [vite] (client) hmr update /src/pages/Dashboard.jsx
11:25:19 [vite] (client) hmr update /src/pages/Dashboard.jsx
11:42:49 [vite] (client) hmr update /src/App.jsx
11:43:28 [vite] (client) hmr update /src/pages/Dashboard.jsx
11:43:51 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
11:44:12 [vite] (client) hmr update /src/App.jsx
11:44:12 [vite] (client) hmr update /src/pages/Dashboard.jsx
11:44:12 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
11:44:55 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
11:45:22 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
11:50:20 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
11:53:48 [vite] (client) hmr update /src/pages/Dashboard.jsx
11:54:13 [vite] (client) hmr update /src/pages/Dashboard.jsx
11:56:41 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
11:59:03 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
12:04:11 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
12:04:29 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
12:12:14 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
12:12:44 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
12:17:49 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
12:19:15 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
12:23:06 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
12:24:54 [vite] (client) page reload src/main.jsx
12:25:15 [vite] (client) page reload src/main.jsx
12:26:35 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
12:31:32 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
12:32:23 [vite] (client) hmr update /src/pages/TradingPlatform.jsx
12:32:53 [vite] (client) hmr update /src/pages/Dashboard.jsx
12:34:02 [vite] (client) hmr update /src/App.jsx
